"id","title","type","status","tmdbId","confidence"
"5480","Kartavya 2026 1080p Hindi DS4K WEB-DL 5 1 ESub.x264-HDHub4u Ms","movie","not_found",,"0"
"5509","Happy Patel-Khatarnak Jasoos 2026 1080p Hindi DS4K WEB-DL 5 1 ESub.x264-HDHub4u Ms","movie","not_found",,"0"
"5508","Ginny%20Wedss%20Sunny%202%202026%20Hindi%20%28Cleaned%29%201080p%20HQ%20HDTC%20x264","movie","not_found",,"0"
"5479","Gaayapadda Simham 2026 1080p WEB-DL Hindi 5 1-Telugu 5 1 ESub.x264-HDHub4u Ms 2","movie","not_found",,"0"
"5507","Everybody Loves Sohrab Handa 2026 1080p Hindi DS4K WEB-DL 5 1 ESub.x264-HDHub4u Ms 2","movie","not_found",,"0"
"5478","Drishyam-3 2026 1080p HEVC HDTC Malayalam-LiNE HC-ESub.x265-HDHub4u Ms","movie","not_found",,"0"
"5477","Dhurandhar-The Revenge 2026 1080p Hindi DS4K WEB-DL 5 1 ESub.x264-HDHub4u Ag","movie","not_found",,"0"
"5476","Dhumketu 2025 1080p ZEE5 WEB-DL DDP5 1 H 264-4kHdHub Com","movie","not_found",,"0"
"5506","Dacoit 2026 1080p V2-HDTC Hindi-Line HC-ESub.x264-HDHub4u Ms 2","movie","not_found",,"0"
"5475","Chand%20Mera%20Dil%202026%20Hindi%20HDTC%201080p%2010bit%20x265%20HEVC%20CineVood","movie","not_found",,"0"
"5474","Bhooth Bangla 2026 1080p V3-HDTC Hindi-Line.x264-HDHub4u Ms","movie","not_found",,"0"
"5505","Bhooth%20Bangla%20%282026%29%20HDTC%20%5BHindi%20LiNE%5D%201080p%20HC-ESub","movie","not_found",,"0"
"5504","Bhabiji%20Ghar%20Par%20Hain%20%282026%29%20Hindi%201080p%20Zee5%20WEBRip%20x265%20HEVC%2010bit%20DD5 1%20ESub%20-%20HDHub4u","movie","not_found",,"0"
"5503","Assi 2026 1080p ZEE5 WEB-DL DDP5 1 H 264-4kHdHub Com","movie","not_found",,"0"
"4811","London Confidental (2020)","movie","not_found",,"0"
"4724","Dangerous Ishq (2012)","movie","not_found",,"0"
"4673","Baadshah 1999 Hindi DvDrip 720p x264 AC3 5 1.. Hon3y","movie","not_found",,"0"
"4639","Daud-Fun on the Run (1997)","movie","not_found",,"0"
"4553","Don (2006) (1)","movie","needs_review","798901","27"
"4535","Irul - A Horror Nightmare","movie","not_found",,"0"
"4529","Unhinged 2020 1080p.ZEE5.WEB-DL.HIN-ENG-TAM-TEL.AAC2.0.H.264","movie","not_found",,"0"
"4524","The.Last.Thing.He.Wanted.2020.720p.WEB-DL.Hindi.Dual-Audio.MoviezFlix.Co.In","movie","not_found",,"0"
"4522","The.Call.Of.The.Wild.2020.720p.HDRip.Hindi+English Dual-Audio.x264","movie","not_found",,"0"
"4504","Sonic.The.Hedgehog.2020.720p.HC.HDRip.Hindi.Dub.Dual-Audio.x264-1XBET","movie","not_found",,"0"
"4486","Lost Girls 2020 WebRip 1080p Hindi English DD 5.1 x264 MSubs - mkvCinemas [Telly]","movie","not_found",,"0"
"4463","Corona Virus - The Silent Killer (2020) 1080p WEB-DL Multi Audio [Tel+Eng+Tam+Hin+Kan+Mal]","movie","not_found",,"0"
"4444","Use.Me.2019.720p.HDRip.Hindi.Dub.Dual-Audio.MoviezFlix.Org","movie","not_found",,"0"
"4440","The.Wandering.Earth.2019.1080p.NF.WEB-DL [Dual Audio] [Eng+China] 9.x264-KatmovieHD.Eu","movie","not_found",,"0"
"4438","The.Irishman.2019.1080p.WEB-DL.Dual.Audio.Hindi-English.MoviezFlix.Net","movie","not_found",,"0"
"4391","Once.Upon.a.Time.In.Hollywood.2019.1080p.BRRip.Hindi.Dual-Audio.MoviezFlix.Co.In","movie","not_found",,"0"
"4390","Nela Ticket 2019 New Hindi Dubbed Movie - Ravi Teja, Raashi Khanna, Freddy Daruwala","movie","not_found",,"0"
"4388","Men In Black International 2019 1080p BluRay Hindi English x264 DD 5.1 MSubs - LOKiHD - Telly","movie","not_found",,"0"
"4357","Dora.And.The.Lost.City.Of.Gold.2019.720p.ORG.Hindi.BluRay.Dual-Audio.x264","movie","not_found",,"0"
"4109","Top Gun Maverick (2022) {Dual Audio}","movie","needs_review","1076135","60"
